second,lat,lon,alt
0,44.989962166666665,13.754268333333334,14.399999618530273
2,44.98996166666667,13.754265666666667,14.100000381469727
3,44.98996050000001,13.754264666666666,14.0
4,44.98996166666667,13.754266333333332,14.0
5,44.98997316666667,13.754272333333331,14.0
6,44.989992666666666,13.7542805,13.600000381469727
7,44.9900195,13.754292333333334,13.399999618530273
8,44.99005350000001,13.754306000000001,13.399999618530273
9,44.990088,13.7543185,13.300000190734863
10,44.990126,13.754334166666668,13.199999809265137
11,44.99016433333333,13.754351166666668,13.399999618530273
12,44.99020183333334,13.754367333333334,13.0
13,44.99024366666666,13.754384999999997,12.899999618530273
14,44.99028883333334,13.754407333333331,12.899999618530273
15,44.99033599999999,13.754426666666665,12.699999809265137
16,44.99038383333333,13.754447166666667,12.100000381469727
17,44.99043383333333,13.754471666666666,11.600000381469727
18,44.990483499999996,13.754495833333332,11.699999809265137
19,44.99053333333333,13.754520500000002,11.899999618530273
20,44.990583833333325,13.754544333333335,12.300000190734863
21,44.990634666666665,13.754568666666668,12.300000190734863
22,44.99068583333333,13.7545915,12.5
23,44.99073566666666,13.754612000000002,12.699999809265137
24,44.99077666666667,13.754627666666666,13.0
25,44.990808833333325,13.754639666666666,13.100000381469727
26,44.99083900000001,13.754651333333333,13.100000381469727
27,44.99087366666666,13.754667833333334,12.800000190734863
28,44.990916,13.754685833333333,12.800000190734863
29,44.990964166666664,13.754708,13.0
30,44.99101766666666,13.754729999999999,13.100000381469727
31,44.9910755,13.754754333333334,13.0
32,44.991136999999995,13.754779833333336,13.0
33,44.99119866666667,13.754805,13.0
34,44.99125866666667,13.754830166666666,13.100000381469727
35,44.99131583333333,13.754856333333331,13.199999809265137
36,44.99137133333333,13.754881000000001,13.100000381469727
37,44.991427333333334,13.754905,13.300000190734863
38,44.99148333333333,13.754928833333334,13.5
39,44.99153883333334,13.754952500000002,13.699999809265137
40,44.991594666666664,13.754975833333333,14.0
41,44.991652333333334,13.755001166666666,14.199999809265137
42,44.991712166666666,13.755028333333334,14.300000190734863
43,44.991774500000005,13.755055166666667,14.399999618530273
44,44.9918365,13.755081333333331,14.600000381469727
45,44.99189566666667,13.755106166666668,14.600000381469727
46,44.991949000000005,13.755129,14.600000381469727
47,44.99199383333333,13.755147166666665,14.600000381469727
48,44.99202583333334,13.755160499999999,14.699999809265137
49,44.992048499999996,13.7551695,14.600000381469727
50,44.99206216666666,13.755177833333335,14.899999618530273
51,44.99207249999999,13.755183499999998,15.100000381469727
52,44.99207666666666,13.755185666666668,15.100000381469727
